N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
171,명신산업,"31,000",950,+3.16%,500,"16,266","52,470",1.10,"780,898",-13.44,-67.39
172,에스엘,"33,700","1,100",+3.37%,500,"16,244","48,203",16.84,"230,095",14.72,4.74
173,대한유화,"248,500","20,500",+8.99%,"5,000","16,152","6,500",19.16,"237,705",7.08,6.93
174,NHN,"81,900","1,600",+1.99%,500,"16,024","19,565",12.25,"89,296",59.78,1.35
175,코스맥스,"140,000","2,000",+1.45%,500,"15,889","11,350",23.67,"79,954",44.04,6.23
176,녹십자홀딩스,"33,700",600,-1.75%,500,"15,848","47,028",4.85,"158,421",8.94,19.74
177,KODEX 단기채권PLUS,"103,130",5,0.00%,0,"15,793","15,314",0.00,"2,368,760",N/A,N/A
178,종근당,"136,500","1,000",+0.74%,"2,500","15,597","11,426",7.78,"50,461",17.57,17.88
179,DGB금융지주,"9,130",100,+1.11%,"5,000","15,443","169,146",48.28,"463,911",4.20,6.93
180,SK네트웍스,"6,190",310,+5.27%,"2,500","15,363","248,188",12.95,"3,938,208",14.84,1.63
181,KODEX 레버리지,"28,775",485,+1.71%,0,"14,675","51,000",3.58,"10,035,007",N/A,N/A
182,롯데리츠,"5,980",10,+0.17%,500,"14,530","242,969",10.03,"229,663",34.77,1.83
183,KODEX 종합채권(AA-이상)액티브,"109,120",75,-0.07%,0,"14,437","13,230",0.00,"2,022",N/A,N/A
184,부광약품,"20,300",50,+0.25%,500,"14,426","71,063",4.07,"426,320",-152.63,-2.46
185,JB금융지주,"7,320",20,+0.27%,"5,000","14,419","196,983",41.02,"322,423",3.61,10.06
186,신세계인터내셔날,"199,500",0,0.00%,"5,000","14,244","7,140",5.43,"23,174",20.45,8.24
187,KODEX 200TR,"14,245",135,+0.96%,0,"14,145","99,300",0.02,"25,338",N/A,N/A
188,솔루엠,"28,200",200,+0.71%,500,"14,045","49,806",4.83,"387,554",27.59,43.26
189,롯데관광개발,"19,800",50,+0.25%,500,"13,717","69,276",6.62,"495,215",-11.07,-30.43
190,세방전지,"95,300","2,400",+2.58%,500,"13,342","14,000",25.27,"79,751",17.29,6.14
191,LG전자우,"77,600","1,000",+1.31%,"5,000","13,336","17,186",40.66,"78,072",7.23,N/A
192,티와이홀딩스,"32,350","2,450",+8.19%,500,"12,996","40,172",6.04,"600,062",1.22,N/A
193,이노션,"64,400",300,+0.47%,500,"12,880","20,000",30.02,"20,228",21.93,8.28
194,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83
195,효성화학,"400,000","21,000",+5.54%,"5,000","12,760","3,190",8.93,"112,905",43.67,-2.71
196,한국콜마,"55,600",300,+0.54%,500,"12,722","22,881",26.86,"138,244",7.94,29.27
197,다우기술,"27,950",500,+1.82%,500,"12,540","44,867",21.80,"95,611",3.31,18.85
198,롯데칠성,"139,500","2,500",+1.82%,500,"12,520","8,975",8.84,"23,823",188.01,-1.00
199,이연제약,"69,000","2,700",-3.77%,500,"12,419","17,999",1.08,"1,100,736",249.10,1.71
200,동원시스템즈,"48,450","3,000",+6.60%,"5,000","12,412","25,619",1.22,"340,622",23.66,10.97
